resource_const,action_class,action_const,superclass,auth,auth_effective,classification,http_method,blocking,route,file,line_start,line_end
VpsAdmin::API::Resources::ApiServer,UnlockTransactionSigningKey,VpsAdmin::API::Resources::ApiServer::UnlockTransactionSigningKey,HaveAPI::Action,,True,admin_only,,,,api/lib/vpsadmin/api/resources/api_server.rb,5,22
VpsAdmin::API::Resources::Cluster,FullStats,VpsAdmin::API::Resources::Cluster::FullStats,HaveAPI::Action,,True,admin_only,,,,api/lib/vpsadmin/api/resources/cluster.rb,79,150
VpsAdmin::API::Resources::Cluster,GenerateMigrationKeys,VpsAdmin::API::Resources::Cluster::GenerateMigrationKeys,HaveAPI::Action,,True,admin_only,post,True,,api/lib/vpsadmin/api/resources/cluster.rb,178,195
VpsAdmin::API::Resources::Cluster,PublicStats,VpsAdmin::API::Resources::Cluster::PublicStats,HaveAPI::Action,False,False,public,,,,api/lib/vpsadmin/api/resources/cluster.rb,31,77
VpsAdmin::API::Resources::Cluster,Search,VpsAdmin::API::Resources::Cluster::Search,HaveAPI::Action,,True,admin_only,post,,,api/lib/vpsadmin/api/resources/cluster.rb,152,176
VpsAdmin::API::Resources::Cluster,Show,VpsAdmin::API::Resources::Cluster::Show,HaveAPI::Actions::Default::Show,,True,authenticated,,,,api/lib/vpsadmin/api/resources/cluster.rb,5,29
VpsAdmin::API::Resources::ClusterResource,Create,VpsAdmin::API::Resources::ClusterResource::Create,HaveAPI::Actions::Default::Create,,True,admin_only,,,,api/lib/vpsadmin/api/resources/cluster_resource.rb,66,82
VpsAdmin::API::Resources::ClusterResource,Index,VpsAdmin::API::Resources::ClusterResource::Index,HaveAPI::Actions::Default::Index,,True,authenticated,,,,api/lib/vpsadmin/api/resources/cluster_resource.rb,22,44
VpsAdmin::API::Resources::ClusterResource,Show,VpsAdmin::API::Resources::ClusterResource::Show,HaveAPI::Actions::Default::Show,,True,authenticated,,,,api/lib/vpsadmin/api/resources/cluster_resource.rb,46,64
VpsAdmin::API::Resources::ClusterResource,Update,VpsAdmin::API::Resources::ClusterResource::Update,HaveAPI::Actions::Default::Update,,True,admin_only,,,,api/lib/vpsadmin/api/resources/cluster_resource.rb,84,104
VpsAdmin::API::Resources::ClusterResourcePackage,Create,VpsAdmin::API::Resources::ClusterResourcePackage::Create,HaveAPI::Actions::Default::Create,,True,admin_only,,,,api/lib/vpsadmin/api/resources/cluster_resource_package.rb,73,94
VpsAdmin::API::Resources::ClusterResourcePackage,Delete,VpsAdmin::API::Resources::ClusterResourcePackage::Delete,HaveAPI::Actions::Default::Delete,,True,admin_only,,,,api/lib/vpsadmin/api/resources/cluster_resource_package.rb,119,137
