action_const,resource_const,action_class,superclass,classification,auth_effective,auth,route,http_method,blocking,file,line_start,line_end,applies_to_resource_file,desc,allow_conditions,restrict_lines,input_whitelist,input_blacklist,output_whitelist,output_blacklist,runtime_checks,authorize_blocks,authorize_effective,parent_resource_const
VpsAdmin::API::Resources::ApiServer::UnlockTransactionSigningKey,VpsAdmin::API::Resources::ApiServer,UnlockTransactionSigningKey,HaveAPI::Action,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/api_server.rb,5,22,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/api_server.rb"", ""kind"": ""inclass"", ""line_end"": 14, ""line_start"": 12, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/api_server.rb"", ""kind"": ""inclass"", ""line_end"": 14, ""line_start"": 12, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::Cluster::FullStats,VpsAdmin::API::Resources::Cluster,FullStats,HaveAPI::Action,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/cluster.rb,79,150,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster.rb"", ""kind"": ""inclass"", ""line_end"": 100, ""line_start"": 98, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster.rb"", ""kind"": ""inclass"", ""line_end"": 100, ""line_start"": 98, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}",
VpsAdmin::API::Resources::Cluster::GenerateMigrationKeys,VpsAdmin::API::Resources::Cluster,GenerateMigrationKeys,HaveAPI::Action,admin_only,True,True,,post,True,api/lib/vpsadmin/api/resources/cluster.rb,178,195,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster.rb"", ""kind"": ""inclass"", ""line_end"": 185, ""line_start"": 183, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster.rb"", ""kind"": ""inclass"", ""line_end"": 185, ""line_start"": 183, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}",
VpsAdmin::API::Resources::Cluster::PublicStats,VpsAdmin::API::Resources::Cluster,PublicStats,HaveAPI::Action,public,False,False,,,False,api/lib/vpsadmin/api/resources/cluster.rb,31,77,,,"[""(allow)""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster.rb"", ""kind"": ""inclass"", ""line_end"": 43, ""line_start"": 41, ""snippet"": ""    authorize do\n      allow\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster.rb"", ""kind"": ""inclass"", ""line_end"": 43, ""line_start"": 41, ""snippet"": ""    authorize do\n      allow\n    end""}",
VpsAdmin::API::Resources::Cluster::Search,VpsAdmin::API::Resources::Cluster,Search,HaveAPI::Action,admin_only,True,True,,post,False,api/lib/vpsadmin/api/resources/cluster.rb,152,176,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster.rb"", ""kind"": ""inclass"", ""line_end"": 171, ""line_start"": 169, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster.rb"", ""kind"": ""inclass"", ""line_end"": 171, ""line_start"": 169, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}",
VpsAdmin::API::Resources::Cluster::Show,VpsAdmin::API::Resources::Cluster,Show,HaveAPI::Actions::Default::Show,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/cluster.rb,5,29,,,"[""(allow)""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster.rb"", ""kind"": ""inclass"", ""line_end"": 15, ""line_start"": 13, ""snippet"": ""    authorize do\n      allow\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster.rb"", ""kind"": ""inclass"", ""line_end"": 15, ""line_start"": 13, ""snippet"": ""    authorize do\n      allow\n    end""}",
VpsAdmin::API::Resources::ClusterResource::Create,VpsAdmin::API::Resources::ClusterResource,Create,HaveAPI::Actions::Default::Create,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/cluster_resource.rb,66,82,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource.rb"", ""kind"": ""inclass"", ""line_end"": 75, ""line_start"": 73, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource.rb"", ""kind"": ""inclass"", ""line_end"": 75, ""line_start"": 73, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::ClusterResource::Index,VpsAdmin::API::Resources::ClusterResource,Index,HaveAPI::Actions::Default::Index,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/cluster_resource.rb,22,44,,,"[""(allow)""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource.rb"", ""kind"": ""inclass"", ""line_end"": 31, ""line_start"": 29, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource.rb"", ""kind"": ""inclass"", ""line_end"": 31, ""line_start"": 29, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}",
VpsAdmin::API::Resources::ClusterResource::Show,VpsAdmin::API::Resources::ClusterResource,Show,HaveAPI::Actions::Default::Show,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/cluster_resource.rb,46,64,,,"[""(allow)""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource.rb"", ""kind"": ""inclass"", ""line_end"": 55, ""line_start"": 53, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource.rb"", ""kind"": ""inclass"", ""line_end"": 55, ""line_start"": 53, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}",
VpsAdmin::API::Resources::ClusterResource::Update,VpsAdmin::API::Resources::ClusterResource,Update,HaveAPI::Actions::Default::Update,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/cluster_resource.rb,84,104,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource.rb"", ""kind"": ""inclass"", ""line_end"": 97, ""line_start"": 95, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource.rb"", ""kind"": ""inclass"", ""line_end"": 97, ""line_start"": 95, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::ClusterResourcePackage::Create,VpsAdmin::API::Resources::ClusterResourcePackage,Create,HaveAPI::Actions::Default::Create,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/cluster_resource_package.rb,73,94,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 87, ""line_start"": 85, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/cluster_resource_package.rb"", ""kind"": ""inclass"", ""line_end"": 87, ""line_start"": 85, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
